log2FoldChange,pvalue,padj
-0.6228237,0.01508698,0.06316485
-0.6287153,0.00508039,0.02843372
-0.7061386,0.004499177,0.02580801
-1.057119,0.0002183851,0.002788334
-0.9694301,4.470823e-05,0.0007949329
-0.5453683,0.03246223,0.1093906
-0.3674144,0.04608088,0.1408014
0.5034001,0.003370853,0.02118898
-0.4833386,0.01698062,0.06896507
-0.5657606,0.002089636,0.01486654
0.7345738,0.0004941915,0.005070764
0.5373567,0.0009090258,0.007861366
0.5805086,0.004687659,0.02676572
-0.6073293,0.01281883,0.05617159
0.4578637,0.0009626725,0.008256411
-0.6989027,0.001702713,0.01272533
0.4559156,0.04705699,0.1432911
-0.8725694,0.002797766,0.01850053
-0.5357441,0.03971429,0.1275534
0.6027418,0.005891266,0.03175002
0.5952761,0.002590793,0.01756767
-0.6436557,0.007831169,0.03939661
0.4718677,0.006637975,0.03471399
-0.4409324,0.02735981,0.09584412
0.5187472,0.002901725,0.01899255
0.5336736,0.00151268,0.01175731
-1.418937,3.373605e-08,3.329695e-06
0.6140245,0.0009157965,0.007897951
0.6812899,0.002883942,0.01893596
-0.5270531,0.0109591,0.05051422
0.5676225,0.0002451877,0.003037006
-0.665567,0.01019342,0.04790538
0.3421082,0.03465812,0.1149356
-0.8157267,0.001832331,0.01351534
0.6758658,0.0002385979,0.002967203
0.6637301,0.004124081,0.02429513
0.6218656,0.001034036,0.008688697
0.5630646,0.005254551,0.02907843
-0.6298259,0.02014161,0.07763838
-0.7816225,0.001509573,0.01174784
-0.8053992,0.0009086413,0.007861366
-0.8121919,0.003238057,0.0206071
-0.4767231,0.04541141,0.1393035
-0.6063319,0.01947342,0.07586826
-0.6380068,0.01941352,0.07573395
0.8298059,0.0004064495,0.004412432
0.6970284,0.000424392,0.004526363
0.4529664,0.04877655,0.1468018
0.317654,0.02896974,0.1004091
0.7682384,7.950345e-07,3.832189e-05
0.7420262,3.92164e-05,0.0007235832
-0.842981,0.001969249,0.01431997
0.6624794,0.0009676737,0.008265103
-0.5844623,0.02640539,0.09323608
-1.043124,6.077382e-06,0.0001741436
-0.6690425,0.01663209,0.06794486
-0.598112,0.01162598,0.05265139
0.4556688,0.008040152,0.04004381
-0.7800866,0.003698866,0.02246807
-0.4636154,0.0241715,0.08773986
0.4983364,0.04375672,0.1354302
0.2853426,0.04892732,0.1468646
0.7785973,5.418017e-05,0.0009255283
-0.5283163,0.04502488,0.138575
-0.8645069,3.791382e-06,0.0001215197
0.361013,0.0157916,0.06546143
0.520512,0.001814825,0.01341805
0.6096736,0.0127053,0.05579206
0.7551821,6.856117e-06,0.0001903185
0.5134423,0.007357309,0.03771455
-1.368213,1.022359e-06,4.501818e-05
0.5424894,0.008099836,0.04025962
-1.080113,6.147004e-07,3.239159e-05
-0.5139381,0.04519528,0.1387922
-0.7238744,0.002038205,0.01461772
0.5687678,0.001666114,0.01252708
0.4604475,0.007649309,0.03860666
-0.6126037,0.00742014,0.03791161
0.5349625,0.005837371,0.03150762
0.3755647,0.04337154,0.134573
-0.945641,8.118169e-07,3.882983e-05
0.4860163,0.002320543,0.01610395
-0.5272536,0.006050838,0.03246257
0.5424656,0.02525412,0.09024718
-1.716808,2.723149e-11,2.06645e-08
-0.5387809,0.009272795,0.04462712
-1.696763,2.318729e-06,8.431496e-05
-0.9398957,0.0007457267,0.006749395
-1.831529,9.216961e-06,0.0002368226
-0.8098826,0.004658194,0.02667095
-0.6215618,0.0187543,0.07385257
0.5481473,0.02497466,0.08955736
0.4382388,0.04194283,0.1320308
