log2FoldChange,pvalue,padj
-0.8015664,0.006068845,0.04065607
0.6915517,0.009732691,0.05780599
-0.6408224,0.005099142,0.03609878
0.7644263,0.004787831,0.03492954
0.6460984,0.01094502,0.06264031
-0.4542822,0.04103968,0.1505292
0.4940796,0.03526802,0.135728
0.4150774,0.03000254,0.12309
-0.6468963,0.01363819,0.07286455
0.8471639,0.002134865,0.01989988
0.9084286,0.00155452,0.01593183
-0.4303978,0.0193488,0.09226581
-0.6088072,0.01675853,0.08414471
0.7797598,0.006184787,0.04124342
-0.645815,0.004975614,0.03560395
0.5647577,0.0291062,0.1211913
-0.4531978,0.04024555,0.1487594
-0.429207,0.006192718,0.04125027
-0.3175672,0.03664279,0.1392752
0.6747108,0.0135892,0.07282104
-0.6983418,0.01146691,0.06463657
-0.9257235,4.402607e-09,6.415994e-07
0.4320053,0.02448135,0.1073192
-0.8973856,3.887307e-05,0.001001586
-0.6142754,0.006060866,0.04065607
-0.7237759,0.004365433,0.03289213
-0.5694204,0.01959108,0.0930393
-0.7465493,0.0006754267,0.00871636
-0.5891321,0.005345171,0.03709337
0.642494,0.008674578,0.05321417
-0.4661842,0.01223374,0.06752775
0.5755894,0.02144451,0.09841088
-0.3393247,0.002751643,0.0238969
-0.5309885,0.01187089,0.06627722
0.6331006,0.001329567,0.01421669
0.4239121,0.0222469,0.1008538
0.5728367,0.01298554,0.07024527
-0.4696202,0.04127427,0.151204
-0.563597,0.002811,0.02428722
0.595993,0.007587141,0.0479716
0.8942302,0.001813961,0.01766463
0.9928497,0.001859502,0.01794915
0.5777718,0.01968012,0.09329022
0.569293,0.02095405,0.09690435
-0.5406695,0.02542992,0.110184
-1.396383,4.827539e-05,0.001167795
0.3489236,0.04483184,
-0.7030847,0.002946196,0.02499792
-0.4334629,0.01058417,0.06139845
-0.4708019,0.01436302,0.07527985
-0.6560189,0.01594983,0.08138365
-0.6020276,0.005642765,0.03870898
0.5934244,0.01800578,0.08847413
-0.4987202,0.0166913,0.08399725
0.4987779,0.0439875,0.1579479
-0.3279894,0.03245715,0.1288568
-0.2842314,0.03780892,0.1422596
0.4618584,0.01565416,0.08042444
0.383289,0.03640698,0.138467
-0.337117,0.01895369,0.09096247
0.5675548,0.01521897,0.07879819
-0.4836822,0.03743285,0.1412003
-0.5372462,0.01742143,0.08674421
-0.3465249,0.03090984,0.125296
0.5526843,0.01068894,0.06182613
-1.06442,3.532956e-05,0.0009218084
0.6888886,0.008864766,0.05382823
0.4229619,0.04028802,0.1487768
0.6613408,0.01254843,0.06882905
0.320111,0.03048465,0.1240775
-0.5149737,0.01351373,0.07254675
0.6384825,0.01375892,0.07340137
0.7063774,0.002990112,0.02519875
-0.3554274,0.03759786,
-0.5464543,0.0237887,0.1055999
-0.4752201,0.03156438,0.1268307
-0.482936,0.03323529,0.1309037
-0.4580827,0.0007071331,0.009028034
-0.341596,0.01193398,0.06646667
-0.5899771,0.0007392603,0.009260126
0.9983028,0.001656469,0.01657856
-1.332271,5.395776e-10,1.044866e-07
-0.2987141,0.0258005,0.1111239
-0.5350237,0.001674777,0.01670583
0.4347007,0.02943888,0.1217871
-0.4817535,0.0004918082,0.007080854
0.6268247,0.005412778,0.03751897
0.3703565,0.020885,0.09665986
0.5524929,0.01615646,0.08229738
-0.9220405,0.00250608,0.02231569
-1.083772,0.0001993256,0.003544554
-0.586361,0.01836374,0.08949702
-17.87421,1.124402e-05,0.0003774326
-1.357725,1.688951e-05,0.0005186651
-0.4132339,0.04965677,0.1713745
-0.7024,0.008118622,0.05047738
-0.4630203,0.04923701,0.1707116
0.783555,0.005093,0.03609807
-0.4516488,0.04625538,0.1643138
-1.363017,1.22522e-05,0.0003999108
-0.3200061,0.03124728,0.1261503
0.9088103,0.001567967,0.01604213
0.996323,0.0002173929,0.003773405
-0.5261891,0.0329115,0.130057
-0.3782259,0.005870526,0.03972574
0.3598322,0.02920461,0.1214318
-1.306758,5.559546e-05,0.001308028
-0.466391,0.02954296,0.1219898
0.3025846,0.01810762,0.0889014
-0.3813102,0.01002808,0.05914884
-0.4437542,0.04021127,0.1487594
-1.267541,6.057022e-06,0.0002396735
-0.2906198,0.04715771,0.1660385
0.9745588,9.192489e-05,0.001961611
0.5940201,0.004040531,0.03099124
-0.3669259,0.0167151,0.08399725
-1.608779,1.041048e-07,8.520906e-06
0.8889589,0.001661203,0.01659814
-0.7264826,0.0001207516,0.00240497
0.7753922,0.0004605143,0.006750947
-1.346271,9.457634e-06,0.0003285428
-0.6570131,0.0002583147,0.004335479
0.4654023,0.006069492,0.04065607
0.8199735,0.002897196,0.02469436
0.3824946,0.01142161,0.06450294
-0.5819531,0.0004488593,0.006671479
-0.5297183,0.004787224,0.03492954
0.8623496,0.0006048884,0.008085477
0.4758172,0.04475608,0.1596523
